,0,1,2,3
duration_mean,6.45091339625,5.87885042368,6.41718790988,6.09629261956
duration_std,2.53986442094,2.42463379265,2.53321653111,2.4690665989
symptom_0_mean,4.96636385511,3.69043316029,4.87151266366,6.37649665477
symptom_0_p_missing,0.208536161077,0.215027414665,0.197887905325,0.189899862687
symptom_0_std,7.21789598545,7.10858427478,7.20454317779,7.20535551301
symptom_1_mean,3.88675303776,9.54435579953,6.37635072705,0.340543000083
symptom_1_p_missing,0.218047964933,0.147336853484,0.180647802516,0.258176767325
symptom_1_std,7.18655452063,7.10876078842,7.20452443767,7.08050583155
symptom_2_mean,2.93489766372,5.9909060487,7.10986876767,4.08668908017
symptom_2_p_missing,0.223837265916,0.189103422992,0.168629646525,0.219693154637
symptom_2_std,7.21669485916,7.306869897,7.15761406185,7.20267160912
symptom_3_mean,5.96971502578,5.32584224513,3.92065489255,4.7615589513
symptom_3_p_missing,0.178458712727,0.19399479481,0.223105857419,0.20517777272
symptom_3_std,7.15938041944,7.23180921951,7.20881651299,7.18695448372
symptom_4_mean,1.99946907852,3.34360506562,7.8656042213,6.81149008581
symptom_4_p_missing,0.189522722898,0.195150234676,0.203994190176,0.205040172246
symptom_4_std,7.13959557912,7.15881127067,7.19532640264,7.21884052023
symptom_5_mean,1.84107095743,3.29175333069,8.08148884166,6.98058390093
symptom_5_p_missing,0.240080160822,0.22579256695,0.158328402067,0.183138548297
symptom_5_std,7.09615636014,7.23551403478,7.2058243618,7.16885165758
symptom_6_mean,0.739777433784,6.25190250617,9.32665743589,3.65804121227
symptom_6_p_missing,0.152663877439,0.220126028909,0.246767930097,0.183735057275
symptom_6_std,7.1810133248,7.20076252784,7.10212228691,7.21946731357
symptom_7_mean,4.62925706789,1.2010651384,5.28109759058,8.70951118476
symptom_7_p_missing,0.19300594837,0.201922507358,0.200511657008,0.194126462998
symptom_7_std,7.21875999902,7.14575889506,7.23766642909,7.11944365209
symptom_8_mean,5.40562356553,3.98258010594,4.49838414269,5.70774265601
symptom_8_p_missing,0.206133725977,0.188292171581,0.186142828309,0.219500976547
symptom_8_std,7.25698521428,7.18292193061,7.24401949323,7.17953484102
symptom_9_mean,7.01599004605,4.63993558791,3.0367291163,5.41236212388
symptom_9_p_missing,0.12861497324,0.210064003897,0.288187434348,0.188181648942
symptom_9_std,7.16813824238,7.19687215336,7.19093836127,7.21896840759
