,0,1,2,3
duration_mean,6.00819159654,6.28224539447,6.22201139948,6.38602868131
duration_std,2.4511608473,2.50644052855,2.49439519491,2.52705894992
p_missing,0.155017953663,0.130082320799,0.25350778146,0.273927763874
symptom_0_p,0.483882320481,0.481655216774,0.511959562238,0.511363012178
symptom_1_p,0.592790604807,0.446283627883,0.408426840736,0.554748037465
symptom_2_p,0.542073276145,0.475981923594,0.460200225936,0.528073473966
symptom_3_p,0.476402714309,0.505143429253,0.521637130386,0.497905681451
symptom_4_p,0.533864829711,0.464492371458,0.473871046924,0.516277159521
symptom_5_p,0.459671989873,0.543979587748,0.552309529265,0.452722209064
symptom_6_p,0.524808672134,0.5017436668,0.458905342592,0.520307896235
symptom_7_p,0.377738452543,0.398194409925,0.636032095777,0.610571730299
symptom_8_p,0.394270826309,0.319975516306,0.600943806933,0.677656872583
symptom_9_p,0.547780948035,0.522880859859,0.456039631442,0.476602961884
